"muniYear","IM"
"01001_2015",-1.676
"01001_2010",-1.768
"01001_2005",-1.831
"01001_2000",-1.871
"01001_1995",-1.735
"01001_1990",-1.833
"01005_2015",-1.256
"01005_2010",-1.262
"01005_2005",-1.234
"01005_2000",-1.141
"01003_2015",-0.698
"01005_1995",-0.972
"01003_2010",-0.754
"01007_2015",-1.045
"01003_1995",-1.105
"01003_2000",-0.811
"01003_2005",-0.875
"01007_2010",-1.035
"01003_1990",-0.957
"01006_2015",-1.129
"01002_2015",-0.565
"01011_2015",-1.156
"01002_2010",-0.463
"01007_2005",-1.136
"01006_2010",-1.245
"01007_2000",-1.124
"01005_1990",-0.895
"01002_2005",-0.62
"01006_2005",-1.306
"01007_1995",-0.985
"01002_2000",-0.584
"01011_2010",-1.144
"01002_1995",-0.709
"01006_2000",-1.361
"01007_1990",-0.947
"01002_1990",-0.383
"01006_1995",-1.196
"01011_2005",-1.153
"01006_1990",-1.263
"01009_2015",-0.595
"01010_2015",-0.614
"01011_2000",-1.072
"01009_2010",-0.609
"01010_2010",-0.672
"01011_1995",-1.285
"01009_2005",-0.722
"01010_2005",-0.641
"01009_2000",-0.656
"01009_1995",-0.85
"01004_2015",-0.674
"01010_2000",-0.519
"01004_2010",-0.648
"01009_1990",-0.597
"01010_1995",-0.776
"01004_2005",-0.747
"01004_2000",-0.771
"01004_1995",-0.772
"01004_1990",-0.537
"01008_2015",-0.735
"01008_2010",-0.753
"01008_2005",-0.81
"01008_2000",-0.766
"01008_1995",-0.738
"01008_1990",-0.477
"02004_2015",-1.708
"02004_2010",-1.817
"02004_2005",-1.926
"02004_2000",-1.96
"02004_1995",-1.797
"02002_2015",-1.648
"02002_2010",-1.754
"02002_2005",-1.898
"02002_2000",-1.923
"02004_1990",-1.978
"02002_1995",-1.716
"02002_1990",-1.979
"02001_2015",-1.323
"02001_2010",-1.361
"02001_2005",-1.609
"02001_2000",-1.581
"02001_1995",-1.51
"02001_1990",-1.821
"02003_2015",-1.408
"02003_2010",-1.495
"02005_2015",-1.463
"02003_2005",-1.626
"02005_2010",-1.488
"02003_2000",-1.634
"02005_2005",-1.546
"02005_2000",-1.572
"02003_1995",-1.587
"02003_1990",-1.711
"02005_1995",-1.365
"03008_2015",-1.296
"03003_2015",-1.658
"03003_2010",-1.745
"03008_2010",-1.46
"03003_2005",-1.775
"03003_2000",-1.768
"03003_1995",-1.569
"03008_2005",-1.515
"03003_1990",-1.89
"03008_2000",-1.585
"03001_1990",-1.377
"03001_2015",-1.017
"03008_1995",-1.33
"03001_2010",-1.2
"03001_1995",-1.07
"03001_2000",-1.199
"03001_2005",-1.245
"03002_2015",-1.051
"03002_2010",-1.087
"03002_2005",-1.2
"03002_2000",-1.226
"03002_1995",-1.396
"03008_1990",-1.491
"03002_1990",-1.485
"03009_2015",-1.345
"03009_2010",-1.266
"03009_2005",-1.337
"03009_2000",-1.379
"03009_1995",-1.136
"04002_2015",-1.281
"04002_2010",-1.379
"04003_2015",-1.186
"04002_2005",-1.305
"04003_2010",-1.185
"04002_2000",-1.286
"04002_1995",-1.129
"04003_2005",-1.063
"04003_1995",-0.697
