"muniYear","state","muni","year","Winner2","nulos","noreg","muniYear1","total","PAN","PRI","PRD","PAN_PRD"
"18001_2014","18","001",2014,"PRI_PVEM_PNA",383,2,"18001_2014",17307,0,8621,7916,0
"18002_2014","18","002",2014,"PAN",159,1,"18002_2014",8140,3105,3059,0,0
"18003_2014","18","003",2014,"PRI_PVEM_PNA",169,15,"18003_2014",6519,2371,3997,0,0
"18004_2014","18","004",2014,"PRI_PVEM_PNA",1055,31,"18004_2014",28305,12641,12872,0,0
"18005_2014","18","005",2014,"PRI_PVEM_PNA",117,0,"18005_2014",5885,0,3007,2766,0
"18006_2014","18","006",2014,"PRI_PVEM_PNA",345,23,"18006_2014",12920,1587,6313,0,0
"18007_2014","18","007",2014,"PRI_PVEM_PNA",134,8,"18007_2014",9621,3924,5640,0,0
"18008_2014","18","008",2014,"PAN",376,17,"18008_2014",21007,11464,8583,0,0
"18009_2014","18","009",2014,"PRI_PVEM_PNA",477,6,"18009_2014",14502,5337,7497,0,0
"18010_2014","18","010",2014,"PRI_PVEM_PNA",598,5,"18010_2014",17278,4782,8437,0,0
"18011_2014","18","011",2014,"PRI_PVEM_PNA",228,5,"18011_2014",11593,5585,5655,0,0
"18012_2014","18","012",2014,"INDEP",867,20,"18012_2014",18432,3265,6699,0,0
"18013_2014","18","013",2014,"PRI_PVEM_PNA",120,4,"18013_2014",4485,1502,1860,0,0
"18014_2014","18","014",2014,"PRI_PVEM_PNA",399,9,"18014_2014",10348,0,4432,2967,0
"18015_2014","18","015",2014,"PRI_PVEM_PNA",957,21,"18015_2014",43765,0,21603,20350,0
"18016_2014","18","016",2014,"PRI_PVEM_PNA",309,2,"18016_2014",19707,0,10262,8909,0
"18017_2014","18","017",2014,"PAN",3767,169,"18017_2014",146574,81765,57185,0,0
"18018_2014","18","018",2014,"PRI_PVEM_PNA",370,2,"18018_2014",14682,5747,6496,0,0
"18019_2014","18","019",2014,"PRI_PVEM_PNA",123,4,"18019_2014",5308,1592,3541,0,0
"18020_2014","18","020",2014,"PRI_PVEM_PNA",1092,41,"18020_2014",42786,0,16676,15325,0
"03001_2015","03","001",2015,"PAN",2176,201,"03001_2015",73887,31114,9913,24545,0
"03002_2015","03","002",2015,"PAN",13,223,"03002_2015",28947,12818,10037,4975,0
"03003_2015","03","003",2015,"PAN",2878,313,"03003_2015",99819,41286,28226,15458,0
"03008_2015","03","008",2015,"PAN",14,151,"03008_2015",21252,9048,4210,939,0
"03009_2015","03","009",2015,"PAN",113,0,"03009_2015",8205,4807,2807,303,0
"04001_2015","04","001",2015,"Morena",985,NA,"04001_2015",28976,1326,10301,319,0
"04002_2015","04","002",2015,"PAN",339,NA,"04002_2015",11781,5427,5375,290,0
"04003_2015","04","003",2015,"PRI_PVEM",3774,NA,"04003_2015",106994,32574,43571,4394,0
"04004_2015","04","004",2015,"PAN",420,NA,"04004_2015",18906,11982,6294,98,0
"04005_2015","04","005",2015,"PAN",2675,NA,"04005_2015",82770,38239,28588,2505,0
"04006_2015","04","006",2015,"PRI_PVEM",1510,NA,"04006_2015",38047,8500,17613,3212,0
"04007_2015","04","007",2015,"PRI_PVEM",760,NA,"04007_2015",21307,8246,9335,1315,0
"04008_2015","04","008",2015,"PAN",423,NA,"04008_2015",16222,6857,3867,233,0
"04009_2015","04","009",2015,"PRI_PVEM",390,NA,"04009_2015",18407,8080,8827,108,0
"04010_2015","04","010",2015,"PRI_PVEM",79,NA,"04010_2015",6233,2829,3151,18,0
"04011_2015","04","011",2015,"PAN",80,NA,"04011_2015",5453,3130,2275,10,0
"09002_2015","09","002",2015,"Morena",9362,387,"09002_2015",205232,26839,44592,63572,0
"09003_2015","09","003",2015,"PRD_PT",19161,961,"09003_2015",340797,42735,66511,126113,0
"09004_2015","09","004",2015,"PRI_PVEM",3327,244,"09004_2015",106592,18361,45481,25755,0
"09005_2015","09","005",2015,"PRD_PT",25598,1252,"09005_2015",562127,48066,104129,205348,0
"09006_2015","09","006",2015,"PRD",9168,309,"09006_2015",156897,13167,42696,34271,0
"09007_2015","09","007",2015,"PRD_PT_PNA",34226,1078,"09007_2015",861515,34029,105435,422706,0
"09008_2015","09","008",2015,"PRI_PVEM",5353,200,"09008_2015",123540,10142,43364,37912,0
"09009_2015","09","009",2015,"PRI_PVEM",1736,92,"09009_2015",70262,602,31759,14039,0
"09010_2015","09","010",2015,"PRD_PT",17188,607,"09010_2015",332470,41861,74811,112894,0
"09011_2015","09","011",2015,"Morena",5522,142,"09011_2015",135350,6915,28800,36916,0
"09012_2015","09","012",2015,"Morena",15445,588,"09012_2015",294021,35296,55013,99958,0
"09013_2015","09","013",2015,"Morena",7612,297,"09013_2015",143496,9696,42868,17496,0
"09014_2015","09","014",2015,"PAN",12636,622,"09014_2015",188901,63832,40560,27901,0
"09015_2015","09","015",2015,"Morena",13648,801,"09015_2015",267627,23728,66951,84374,0
"09016_2015","09","016",2015,"PAN",7033,329,"09016_2015",186976,46072,22533,80281,0
"09017_2015","09","017",2015,"PRD_PT",9682,373,"09017_2015",241989,12882,37901,114572,0
"07001_2015","07","001",2015,"Mover",196,4,"07001_2015",7779,1789,1212,57,0
"07002_2015","07","002",2015,"Mover",204,0,"07002_2015",10017,0,88,38,0
"07003_2015","07","003",2015,"CU",323,0,"07003_2015",13255,972,805,48,0
"07004_2015","07","004",2015,"PVEM",413,0,"07004_2015",14547,93,6156,259,0
"07005_2015","07","005",2015,"PVEM",281,0,"07005_2015",10409,512,3536,296,0
"07006_2015","07","006",2015,"PRI",452,0,"07006_2015",13885,0,5249,860,0
"07007_2015","07","007",2015,"CU",95,0,"07007_2015",4956,5,1552,232,0
"07008_2015","07","008",2015,"PVEM",444,1,"07008_2015",12057,974,478,592,0
"07009_2015","07","009",2015,"CU",737,0,"07009_2015",18519,827,3011,373,0
"07010_2015","07","010",2015,"PRI",58,0,"07010_2015",2763,10,823,443,0
"07011_2015","07","011",2015,"PVEM",168,7,"07011_2015",9543,9,1534,2912,0
"07012_2015","07","012",2015,"Mover",631,60,"07012_2015",17725,296,3959,619,0
"07013_2015","07","013",2015,"PRI",597,2,"07013_2015",15102,149,6544,3113,0
