"muniYear","Pob_Total"
"01001_1980",359454
"01002_1980",24395
"01003_1980",37099
"01004_1980",8671
"01005_1980",25147
"01006_1980",19836
"01007_1980",26995
"01008_1980",5700
"01009_1980",12142
"02001_1980",175425
"02002_1980",510664
"02003_1980",30540
"02004_1980",461257
"03001_1980",57729
"03002_1980",26983
"03003_1980",130427
"04001_1980",32084
"04002_1980",151805
"04003_1980",144684
"04004_1980",41077
"04005_1980",14760
"04006_1980",23165
"04007_1980",8096
"04008_1980",4882
"05001_1980",1195
"05002_1980",41948
"05003_1980",15864
"05004_1980",18345
"05005_1980",2093
"05006_1980",15690
"05007_1980",10850
"05008_1980",2533
"05009_1980",47511
"05010_1980",35179
"05011_1980",13568
"05012_1980",2316
"05013_1980",751
"05014_1980",8636
"05015_1980",1897
"05016_1980",1605
"05017_1980",71771
"05018_1980",119609
"05019_1980",6004
"05020_1980",53906
"05021_1980",4719
"05022_1980",8684
"05023_1980",9000
"05024_1980",39677
"05025_1980",80290
"05026_1980",4674
"05027_1980",23092
"05028_1980",39515
"05029_1980",1373
"05030_1980",321758
"05031_1980",15193
"05032_1980",37127
"05033_1980",93410
"05034_1980",7058
"05035_1980",363886
"05036_1980",21095
"05037_1980",5378
"05038_1980",10065
"06001_1980",21847
"06002_1980",100428
"06003_1980",15823
"06004_1980",13941
"06005_1980",22697
"06006_1980",4786
"06007_1980",73290
"06008_1980",6876
"06009_1980",67064
"06010_1980",19541
"07001_1980",7933
"07002_1980",13252
"07003_1980",18277
"07004_1980",12099
"07005_1980",9184
"07006_1980",14411
"07007_1980",4425
"07008_1980",14804
"07009_1980",31514
"07010_1980",5082
"07011_1980",12428
"07012_1980",17561
"07013_1980",10415
"07014_1980",8396
"07015_1980",22785
"07016_1980",10886
"07017_1980",35089
"07018_1980",3468
"07019_1980",54733
"07020_1980",22315
"07021_1980",11470
"07022_1980",5564
"07023_1980",31364
"07024_1980",5019
"07025_1980",7634
"07026_1980",18400
"07027_1980",30309
"07028_1980",3646
"07029_1980",3803
"07030_1980",17210
"07031_1980",36130
"07032_1980",18041
"07033_1980",7446
"07034_1980",26914
"07035_1980",6789
"07036_1980",4370
"07037_1980",19817
"07038_1980",13340
"07039_1980",12313
"07040_1980",33981
"07041_1980",17613
"07042_1980",4764
"07043_1980",4042
"07044_1980",9157
"07045_1980",2716
"07046_1980",26599
"07047_1980",6358
"07048_1980",12956
"07049_1980",10591
"07050_1980",4002
"07051_1980",23340
"07052_1980",42443
"07053_1980",5959
"07054_1980",17363
"07055_1980",2725
"07056_1980",4913
"07057_1980",34705
"07058_1980",2283
"07059_1980",69757
"07060_1980",3508
"07061_1980",24678
"07062_1980",11449
"07063_1980",2226
"07064_1980",24879
"07065_1980",35430
"07066_1980",9305
"07067_1980",5484
"07068_1980",19304
"07069_1980",28896
"07070_1980",8756
"07071_1980",16578
"07072_1980",11893
"07073_1980",3310
"07074_1980",13199
"07075_1980",15925
"07076_1980",12054
"07077_1980",26114
"07078_1980",60550
"07079_1980",18883
"07110_1980",3226
"07080_1980",21008
"07081_1980",17043
"07082_1980",3503
"07083_1980",7827
"07084_1980",4779
"07085_1980",5563
"07086_1980",7837
"07087_1980",14743
"07088_1980",1613
"07089_1980",144057
"07090_1980",2450
"07091_1980",6492
"07092_1980",21451
"07093_1980",20642
"07094_1980",10627
"07096_1980",34866
"07097_1980",44673
"07098_1980",3003
"07099_1980",35272
"07100_1980",16090
"07101_1980",166476
"07102_1980",22361
"07103_1980",16044
"07104_1980",6269
"07105_1980",11083
"07106_1980",33059
"07107_1980",31032
"07108_1980",51096
"07109_1980",10202
"07111_1980",13006
"08001_1980",12100
"08002_1980",15667
"08003_1980",10850
"08004_1980",5092
"08005_1980",11985
"08006_1980",8332
"08007_1980",12917
"08008_1980",10513
"08009_1980",18113
"08010_1980",16317
"08011_1980",44623
"08012_1980",9297
"08013_1980",10861
"08014_1980",3282
"08015_1980",3353
"08016_1980",4031
"08017_1980",85589
"08018_1980",7907
"08019_1980",406830
"08020_1980",7770
"08021_1980",82215
"08022_1980",6450
"08023_1980",3184
"08024_1980",6060
"08025_1980",9698
"08026_1980",6347
"08027_1980",29067
"08028_1980",8876
"08029_1980",30231
"08030_1980",9381
"08031_1980",40880
"08032_1980",78994
"08033_1980",2132
"08034_1980",9634
"08035_1980",8906
"08036_1980",33230
"08037_1980",567365
"08038_1980",5828
"08039_1980",4479
"08040_1980",34614
"08041_1980",1230
"08042_1980",4164
"08043_1980",4591
"08044_1980",5346
"08045_1980",34727
"08046_1980",6746
"08047_1980",5448
"08048_1980",32987
"08049_1980",3714
"08050_1980",36871
"08051_1980",7590
"08052_1980",26421
"08053_1980",7777
"08054_1980",10321
"08055_1980",13054
"08056_1980",4160
"08057_1980",3711
"08058_1980",3302
"08059_1980",12185
"08060_1980",17365
"08061_1980",7439
"08062_1980",31095
"08063_1980",9374
"08064_1980",2994
"08065_1980",13814
"08066_1980",8036
"08067_1980",8015
"09010_1980",639213
"09002_1980",601524
"09014_1980",544882
"09003_1980",597129
"09004_1980",91200
"09015_1980",814983
"09005_1980",1513360
"09006_1980",570377
"09007_1980",1262354
"09008_1980",173105
"09016_1980",543062
"09009_1980",53616
"09011_1980",146923
"09012_1980",368974
"09017_1980",692896
"09013_1980",217481
"10001_1980",64953
"10002_1980",5862
"10003_1980",5645
"10004_1980",34432
"10005_1980",321148
"10006_1980",12264
"10007_1980",180011
"10008_1980",32156
"10009_1980",12821
"10010_1980",7277
"10011_1980",10569
"10012_1980",73527
"10013_1980",28093
"10014_1980",12918
"10015_1980",13808
"10016_1980",20763
"10017_1980",15292
"10018_1980",18461
"10019_1980",5397
"10020_1980",16688
"10021_1980",10811
"10022_1980",25243
"10023_1980",33530
"10024_1980",15818
"10025_1980",7563
"10026_1980",22474
"10027_1980",9049
"10028_1980",16535
"10029_1980",3591
"10030_1980",3429
"10031_1980",7008
"10032_1980",37895
"10033_1980",7312
"10034_1980",20647
"10035_1980",14740
"10036_1980",28449
"10037_1980",8658
"10038_1980",17483
"11001_1980",46365
"11002_1980",98126
"11003_1980",77624
"11004_1980",37414
"11005_1980",44676
"11006_1980",4862
"11007_1980",219010
"11008_1980",32188
"11009_1980",45204
"11010_1980",8533
"11011_1980",61308
"11012_1980",17524
"11013_1980",10012
"11014_1980",67358
"11015_1980",83576
"11016_1980",15877
"11017_1980",246308
"11018_1980",24445
"11019_1980",44731
"11020_1980",655809
"11021_1980",44858
"11022_1980",19246
"11023_1980",105105
"11024_1980",9585
"11025_1980",23211
"11026_1980",34984
"11027_1980",160040
"11028_1980",94732
"11029_1980",23474
"11030_1980",64291
"11031_1980",66575
"11032_1980",28796
"11033_1980",53469
"11034_1980",3556
"11035_1980",38222
"11036_1980",9006
"11037_1980",77036
"11038_1980",11958
"11039_1980",32355
"11040_1980",9435
"11041_1980",30311
"11042_1980",100733
"11043_1980",16823
"11044_1980",31221
"11045_1980",10393
"11046_1980",65745
"12001_1980",409335
"12002_1980",15632
"12003_1980",28167
"12004_1980",11765
"12005_1980",4259
"12006_1980",14551
"12007_1980",37067
"12008_1980",7392
"12009_1980",3581
"12010_1980",13239
"12011_1980",43743
"12012_1980",33283
"12013_1980",30820
"12014_1980",13530
"12015_1980",10685
"12016_1980",11705
"12017_1980",17421
"12018_1980",10231
"12019_1980",9007
"12020_1980",9823
"12021_1980",47483
"12022_1980",39799
"12023_1980",19809
"12024_1980",5532
"12025_1980",12252
"12026_1980",11101
"12027_1980",24841
"12028_1980",73335
"12029_1980",98266
"12030_1980",12143
"12031_1980",10264
"12032_1980",24606
"12033_1980",12245
"12034_1980",33403
"12035_1980",83328
"12036_1980",5493
"12037_1980",8633
"12038_1980",25751
"12039_1980",18623
"12040_1980",16449
"12041_1980",22231
"12042_1980",11379
"12043_1980",18005
"12044_1980",8770
"12045_1980",16302
"12046_1980",31427
"12047_1980",8470
"12048_1980",34263
"12049_1980",9040
"12050_1980",19250
"12051_1980",22275
"12052_1980",24459
"12053_1980",42649
"12054_1980",21023
"12055_1980",75912
"12056_1980",29602
"12057_1980",52881
"12058_1980",53315
"12059_1980",31566
"12060_1980",10703
"12061_1980",25795
"12062_1980",11427
"12063_1980",6040
"12064_1980",14973
"12065_1980",5867
"12066_1980",33581
"12067_1980",18699
"12068_1980",19239
"12069_1980",9931
"12070_1980",6056
"12071_1980",13868
"12072_1980",20627
"12073_1980",20024
"12074_1980",13629
"12075_1980",27643
"13001_1980",13513
"13002_1980",26293
"13003_1980",34622
"13004_1980",7599
"13005_1980",11875
"13006_1980",15700
"13007_1980",8550
"13008_1980",30090
"13009_1980",10151
"13010_1980",10384
"13011_1980",13989
"13012_1980",24152
"13013_1980",14519
"13014_1980",15737
"13015_1980",13924
"13016_1980",30535
"13017_1980",9678
"13018_1980",15580
"13019_1980",10060
"13020_1980",3492
"13021_1980",12520
"13022_1980",8392
"13023_1980",21741
"13024_1980",13834
"13025_1980",23595
"13026_1980",7844
"13027_1980",18508
"13028_1980",58806
"13029_1980",28655
"13030_1980",52124
"13031_1980",11117
"13032_1980",7433
"13033_1980",3401
"13034_1980",8237
"13035_1980",7702
"13036_1980",8388
"13037_1980",20380
"13038_1980",7004
"13039_1980",13296
"13051_1980",7142
"13040_1980",10755
"13041_1980",24782
"13042_1980",11321
"13043_1980",7126
"13044_1980",11401
"13045_1980",6282
"13046_1980",26494
"13047_1980",5882
"13048_1980",135248
"13049_1980",11967
"13050_1980",15026
"13052_1980",17668
"13053_1980",17838
"13054_1980",20356
"13055_1980",11481
"13056_1980",12568
"13057_1980",11106
"13058_1980",13797
"13059_1980",22650
"13060_1980",13438
"13061_1980",37888
"13062_1980",19580
"13063_1980",37777
"13064_1980",6825
"13065_1980",5922
"13067_1980",25050
"13068_1980",14771
"13069_1980",16454
"13070_1980",9136
"13071_1980",12108
"13072_1980",6608
"13073_1980",22843
"13074_1980",15156
"13075_1980",5252
"13076_1980",57604
"13077_1980",70782
"13066_1980",5702
"13078_1980",12211
"13079_1980",8018
"13080_1980",17804
"13081_1980",15795
"13082_1980",7949
"13083_1980",16049
"13084_1980",32461
"14001_1980",12882
"14002_1980",13981
"14003_1980",16884
"14004_1980",4690
"14005_1980",8771
"14006_1980",48259
"14007_1980",8099
"14008_1980",45800
"14009_1980",9136
"14010_1980",5507
"14011_1980",5422
"14012_1980",4730
"14013_1980",40619
"14014_1980",8960
"14015_1980",41499
"14016_1980",27080
"14017_1980",14196
"14018_1980",46666
"14019_1980",6528
"14020_1980",6785
"14021_1980",19025
"14022_1980",20452
"14023_1980",62353
"14024_1980",23267
"14025_1980",14932
"14026_1980",6361
"14027_1980",12926
"14028_1980",3164
"14029_1980",18467
"14030_1980",30629
"14031_1980",4054
"14032_1980",4743
"14033_1980",18262
"14034_1980",2578
"14035_1980",35585
"14036_1980",14859
"14037_1980",18869
"14038_1980",5539
"14039_1980",1626152
"14040_1980",7760
"14041_1980",7878
"14042_1980",9563
"14043_1980",19283
"14044_1980",12310
"14045_1980",18833
"14046_1980",19694
"14047_1980",16848
"14048_1980",18473
"14049_1980",10592
"14050_1980",24746
"14051_1980",8081
"14052_1980",6418
"14053_1980",84305
"14054_1980",7277
"14055_1980",14181
"14056_1980",3612
"14057_1980",3713
"14058_1980",14945
"14059_1980",8765
"14060_1980",7623
"14061_1980",15040
"14062_1980",3816
"14063_1980",59196
"14064_1980",20214
"14065_1980",17469
"14066_1980",26905
"14067_1980",57028
"14068_1980",10763
"14069_1980",14592
"14070_1980",19887
"14071_1980",4864
"14072_1980",6332
"14073_1980",36577
"14074_1980",10583
"14075_1980",2803
"14076_1980",4604
"14077_1980",21779
"14078_1980",23053
"14079_1980",10616
"14080_1980",7763
"14081_1980",5678
"14082_1980",24603
"14083_1980",40458
"14084_1980",13058
"14085_1980",40377
"14086_1980",11505
"14087_1980",17287
"14088_1980",14974
"14089_1980",3166
"14090_1980",7706
"14091_1980",33174
"14092_1980",13020
"14093_1980",78364
"14094_1980",26718
"14095_1980",7610
