"muniYear","state","muni","year","Winner2","PAN","PRI","PRD","PAN_PRD","nulos","noreg","total","muniYear1","win_state","wintop_state","win","win_top","prevyear","difY","inc","cont","alt","inc_top","conco","PRI_ofi","PAN_ofi","PRD_ofi","PAN_PRD_ofi","PRI_opo","PAN_opo","PRD_opo","PAN_PRD_opo","edo_year"
"01001_1980","01","01001",1980,"PRI",7684,54866,0,0,NA,NA,69603,NA,"PRI","PRI","PRI","PRI",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,"01_1980"
"01001_1983","01","01001",1983,"PRI",36145,71747,686,0,NA,NA,114479,NA,"PRI","PRI","PRI","PRI",1980,3,"PRI",1,0,"PRI",1,1,0,0,0,0,0,0,0,"01_1983"
"01001_1986","01","01001",1986,"PRI",30425,96758,1120,0,0,0,142030,NA,"PRI","PRI","PRI","PRI",1983,3,"PRI",1,0,"PRI",1,1,0,0,0,0,0,0,0,"01_1986"
"01001_1989","01","01001",1989,"PRI",24822,57852,1857,0,0,0,88659,NA,"PRI","PRI","PRI","PRI",1986,3,"PRI",1,0,"PRI",1,1,0,0,0,0,0,0,0,"01_1989"
"01001_1992","01","01001",1992,"PRI",29563,92359,4071,0,0,0,137977,NA,"PRI","PRI","PRI","PRI",1989,3,"PRI",1,0,"PRI",1,1,0,0,0,0,0,0,0,"01_1992"
"01001_1995","01","01001",1995,"PAN",92863,56775,13814,0,3810,0,174344,NA,"PRI","PRI","PAN","PAN",1992,3,"PRI",0,1,"PRI",0,0,0,0,0,0,1,0,0,"01_1995"
"01001_1998","01","01001",1998,"PAN",130616,88917,17014,0,3707,35,243515,NA,"PRI","PRI","PAN","PAN",1995,3,"PAN",1,0,"PAN",0,0,0,0,0,0,1,0,0,"01_1998"
"01001_2001","01","01001",2001,"PAN",79398,54100,11046,0,15746,306,159520,NA,"PAN","PAN","PAN","PAN",1998,3,"PAN",1,0,"PAN",1,0,1,0,0,0,0,0,0,"01_2001"
"01001_2004","01","01001",2004,"PAN",111892,107671,9952,0,5274,98,229515,NA,"PAN","PAN","PAN","PAN",2001,3,"PAN",1,0,"PAN",1,0,1,0,0,0,0,0,0,"01_2004"
"01001_2007","01","01001",2007,"PRI",63535,69266,8771,0,7896,380,201006,NA,"PAN","PAN","PRI","PRI",2004,3,"PAN",0,1,"PAN",0,0,0,0,0,1,0,0,0,"01_2007"
"01001_2010","01","01001",2010,"PRI_PVEM_PNA",93845,150554,4706,0,6497,389,266832,NA,"PAN","PAN","PRI","PRI",2007,3,"PRI",1,0,"PRI",0,0,0,0,0,1,0,0,0,"01_2010"
"01001_2013","01","01001",2013,"PAN_PRD",0,88095,0,101032,10267,592,239292,NA,"PRI_PVEM_PNA","PRI","PAN","PAN",2010,3,"PRI",0,1,"PRI",0,0,0,0,0,0,1,0,1,"01_2013"
"01002_1980","01","01002",1980,"PRI",0,5812,0,0,NA,NA,5843,NA,"PRI","PRI","PRI","PRI",2013,-33,"PAN",0,1,"PAN",1,1,0,0,0,0,0,0,0,"01_1980"
"01002_1983","01","01002",1983,"PRI",1114,6341,10,0,NA,NA,7542,NA,"PRI","PRI","PRI","PRI",1980,3,"PRI",1,0,"PRI",1,1,0,0,0,0,0,0,0,"01_1983"
"01002_1986","01","01002",1986,"PRI",233,10500,1,0,0,0,11596,NA,"PRI","PRI","PRI","PRI",1983,3,"PRI",1,0,"PRI",1,1,0,0,0,0,0,0,0,"01_1986"
"01002_1989","01","01002",1989,"PRI",116,7953,31,0,0,0,8339,NA,"PRI","PRI","PRI","PRI",1986,3,"PRI",1,0,"PRI",1,1,0,0,0,0,0,0,0,"01_1989"
"01002_1992","01","01002",1992,"PRI",421,5445,633,0,0,0,8053,NA,"PRI","PRI","PRI","PRI",1989,3,"PRI",1,0,"PRI",1,1,0,0,0,0,0,0,0,"01_1992"
