"muni","total","danio","delsex","hom","les","robo","otros","year","muniYear"
"01001",NA,NA,NA,NA,NA,NA,NA,1994,"01001_1994"
"01002",NA,NA,NA,NA,NA,NA,NA,1994,"01002_1994"
"01003",NA,NA,NA,NA,NA,NA,NA,1994,"01003_1994"
"01004",NA,NA,NA,NA,NA,NA,NA,1994,"01004_1994"
"01005",NA,NA,NA,NA,NA,NA,NA,1994,"01005_1994"
"01006",NA,NA,NA,NA,NA,NA,NA,1994,"01006_1994"
"01007",NA,NA,NA,NA,NA,NA,NA,1994,"01007_1994"
"01008",NA,NA,NA,NA,NA,NA,NA,1994,"01008_1994"
"01009",NA,NA,NA,NA,NA,NA,NA,1994,"01009_1994"
"01010",NA,NA,NA,NA,NA,NA,NA,1994,"01010_1994"
"01011",NA,NA,NA,NA,NA,NA,NA,1994,"01011_1994"
"02001",NA,NA,NA,NA,NA,NA,NA,1994,"02001_1994"
"02002",NA,NA,NA,NA,NA,NA,NA,1994,"02002_1994"
"02003",NA,NA,NA,NA,NA,NA,NA,1994,"02003_1994"
"02004",NA,NA,NA,NA,NA,NA,NA,1994,"02004_1994"
"02005",NA,NA,NA,NA,NA,NA,NA,1994,"02005_1994"
"03001",798,535,NA,NA,NA,NA,263,1994,"03001_1994"
"03002",542,332,NA,NA,NA,NA,210,1994,"03002_1994"
"03003",5965,4214,NA,NA,NA,NA,1751,1994,"03003_1994"
"03008",1700,1098,NA,NA,NA,NA,602,1994,"03008_1994"
"03009",132,68,NA,NA,NA,NA,64,1994,"03009_1994"
"04001",269,NA,NA,NA,NA,NA,269,1994,"04001_1994"
"04002",3904,NA,NA,NA,NA,NA,3904,1994,"04002_1994"
"04003",4583,NA,NA,NA,NA,NA,4583,1994,"04003_1994"
"04004",808,NA,NA,NA,NA,NA,808,1994,"04004_1994"
"04005",254,NA,NA,NA,NA,NA,254,1994,"04005_1994"
"04006",115,NA,NA,NA,NA,NA,115,1994,"04006_1994"
"04007",116,NA,NA,NA,NA,NA,116,1994,"04007_1994"
"04008",93,NA,NA,NA,NA,NA,93,1994,"04008_1994"
"04009",776,NA,NA,NA,NA,NA,776,1994,"04009_1994"
"04010",0,NA,NA,NA,NA,NA,0,1994,"04010_1994"
"04011",0,NA,NA,NA,NA,NA,0,1994,"04011_1994"
"05001",NA,NA,NA,NA,NA,NA,NA,1994,"05001_1994"
"05002",NA,NA,NA,NA,NA,NA,NA,1994,"05002_1994"
"05003",NA,NA,NA,NA,NA,NA,NA,1994,"05003_1994"
"05004",NA,NA,NA,NA,NA,NA,NA,1994,"05004_1994"
"05005",NA,NA,NA,NA,NA,NA,NA,1994,"05005_1994"
"05006",NA,NA,NA,NA,NA,NA,NA,1994,"05006_1994"
"05007",NA,NA,NA,NA,NA,NA,NA,1994,"05007_1994"
"05008",NA,NA,NA,NA,NA,NA,NA,1994,"05008_1994"
"05009",NA,NA,NA,NA,NA,NA,NA,1994,"05009_1994"
"05010",NA,NA,NA,NA,NA,NA,NA,1994,"05010_1994"
"05011",NA,NA,NA,NA,NA,NA,NA,1994,"05011_1994"
"05012",NA,NA,NA,NA,NA,NA,NA,1994,"05012_1994"
"05013",NA,NA,NA,NA,NA,NA,NA,1994,"05013_1994"
"05014",NA,NA,NA,NA,NA,NA,NA,1994,"05014_1994"
"05015",NA,NA,NA,NA,NA,NA,NA,1994,"05015_1994"
"05016",NA,NA,NA,NA,NA,NA,NA,1994,"05016_1994"
"05017",NA,NA,NA,NA,NA,NA,NA,1994,"05017_1994"
"05018",NA,NA,NA,NA,NA,NA,NA,1994,"05018_1994"
"05019",NA,NA,NA,NA,NA,NA,NA,1994,"05019_1994"
"05020",NA,NA,NA,NA,NA,NA,NA,1994,"05020_1994"
"05021",NA,NA,NA,NA,NA,NA,NA,1994,"05021_1994"
"05022",NA,NA,NA,NA,NA,NA,NA,1994,"05022_1994"
"05023",NA,NA,NA,NA,NA,NA,NA,1994,"05023_1994"
"05024",NA,NA,NA,NA,NA,NA,NA,1994,"05024_1994"
"05025",NA,NA,NA,NA,NA,NA,NA,1994,"05025_1994"
"05026",NA,NA,NA,NA,NA,NA,NA,1994,"05026_1994"
"05027",NA,NA,NA,NA,NA,NA,NA,1994,"05027_1994"
"05028",NA,NA,NA,NA,NA,NA,NA,1994,"05028_1994"
"05029",NA,NA,NA,NA,NA,NA,NA,1994,"05029_1994"
"05030",NA,NA,NA,NA,NA,NA,NA,1994,"05030_1994"
"05031",NA,NA,NA,NA,NA,NA,NA,1994,"05031_1994"
"05032",NA,NA,NA,NA,NA,NA,NA,1994,"05032_1994"
"05033",NA,NA,NA,NA,NA,NA,NA,1994,"05033_1994"
"05034",NA,NA,NA,NA,NA,NA,NA,1994,"05034_1994"
