"Clave","mayor6_leer_esc","may5_asistencia","year","muniYear"
"01001",495041,NA,1995,"01001_1995"
"01002",29598,NA,1995,"01002_1995"
"01003",43502,NA,1995,"01003_1995"
"01004",10041,NA,1995,"01004_1995"
"01005",44418,NA,1995,"01005_1995"
"01006",26148,NA,1995,"01006_1995"
"01007",31909,NA,1995,"01007_1995"
"01008",5854,NA,1995,"01008_1995"
"01009",13375,NA,1995,"01009_1995"
"01010",11757,NA,1995,"01010_1995"
"01011",14622,NA,1995,"01011_1995"
"02001",267693,NA,1995,"02001_1995"
"02002",598039,NA,1995,"02002_1995"
"02003",52849,NA,1995,"02003_1995"
"02004",834720,NA,1995,"02004_1995"
"02005",39377,NA,1995,"02005_1995"
"03001",56934,NA,1995,"03001_1995"
"03002",39044,NA,1995,"03002_1995"
"03003",158759,NA,1995,"03003_1995"
"03008",59520,NA,1995,"03008_1995"
"03009",8641,NA,1995,"03009_1995"
"04001",37635,NA,1995,"04001_1995"
"04002",177832,NA,1995,"04002_1995"
"04003",150906,NA,1995,"04003_1995"
"04004",66675,NA,1995,"04004_1995"
"04005",20124,NA,1995,"04005_1995"
"04006",33975,NA,1995,"04006_1995"
"04007",6733,NA,1995,"04007_1995"
"04008",6691,NA,1995,"04008_1995"
"04009",44043,NA,1995,"04009_1995"
"04010",NA,NA,1995,"04010_1995"
"04011",NA,NA,1995,"04011_1995"
"05001",1159,NA,1995,"05001_1995"
"05002",67927,NA,1995,"05002_1995"
"05003",17090,NA,1995,"05003_1995"
"05004",16037,NA,1995,"05004_1995"
"05005",1537,NA,1995,"05005_1995"
"05006",18790,NA,1995,"05006_1995"
"05007",10999,NA,1995,"05007_1995"
"05008",2475,NA,1995,"05008_1995"
"05009",40897,NA,1995,"05009_1995"
"05010",54938,NA,1995,"05010_1995"
"05011",10262,NA,1995,"05011_1995"
"05012",1890,NA,1995,"05012_1995"
"05013",1097,NA,1995,"05013_1995"
"05014",7888,NA,1995,"05014_1995"
"05015",1353,NA,1995,"05015_1995"
"05016",1609,NA,1995,"05016_1995"
"05017",75452,NA,1995,"05017_1995"
"05018",163911,NA,1995,"05018_1995"
"05019",5674,NA,1995,"05019_1995"
"05020",54224,NA,1995,"05020_1995"
"05021",5402,NA,1995,"05021_1995"
"05022",17040,NA,1995,"05022_1995"
"05023",11136,NA,1995,"05023_1995"
"05024",36978,NA,1995,"05024_1995"
"05025",98197,NA,1995,"05025_1995"
"05026",3078,NA,1995,"05026_1995"
"05027",30833,NA,1995,"05027_1995"
"05028",44211,NA,1995,"05028_1995"
"05029",1708,NA,1995,"05029_1995"
"05030",452205,NA,1995,"05030_1995"
"05031",17536,NA,1995,"05031_1995"
"05032",35827,NA,1995,"05032_1995"
"05033",78673,NA,1995,"05033_1995"
"05034",5413,NA,1995,"05034_1995"
"05035",439970,NA,1995,"05035_1995"
"05036",16746,NA,1995,"05036_1995"
"05037",5365,NA,1995,"05037_1995"
"05038",10641,NA,1995,"05038_1995"
"06001",23956,NA,1995,"06001_1995"
"06002",107041,NA,1995,"06002_1995"
"06003",15167,NA,1995,"06003_1995"
"06004",14514,NA,1995,"06004_1995"
"06005",22252,NA,1995,"06005_1995"
"06006",4387,NA,1995,"06006_1995"
"06007",93477,NA,1995,"06007_1995"
"06008",7012,NA,1995,"06008_1995"
"06009",77540,NA,1995,"06009_1995"
"06010",56041,NA,1995,"06010_1995"
"07001",10394,NA,1995,"07001_1995"
"07002",19936,NA,1995,"07002_1995"
"07003",21320,NA,1995,"07003_1995"
"07004",NA,NA,1995,"07004_1995"
