"muniYear","muni","year","tomas_dom_agua","tomas_elec","sist_dren"
"01001_1994","01001",1994,127299,139586,48
"01002_1994","01002",1994,5926,5064,48
"01003_1994","01003",1994,9069,11429,39
"01004_1994","01004",1994,1880,1510,11
"01005_1994","01005",1994,7717,9730,34
"01006_1994","01006",1994,5022,5466,11
"01007_1994","01007",1994,6278,7813,22
"01008_1994","01008",1994,1178,1356,8
"01009_1994","01009",1994,2616,2795,17
"01010_1994","01010",1994,2250,2532,25
"01011_1994","01011",1994,3097,4891,19
"02001_1994","02001",1994,49099,79658,NA
"02002_1994","02002",1994,147908,194384,NA
"02003_1994","02003",1994,11509,16225,NA
"02004_1994","02004",1994,204849,256596,NA
"02005_1994","02005",1994,NA,NA,NA
"03001_1994","03001",1994,17665,15093,2
"03002_1994","03002",1994,8824,8428,3
"03003_1994","03003",1994,43816,46481,2
"03008_1994","03008",1994,14224,18635,2
"03009_1994","03009",1994,2585,2442,1
"04001_1994","04001",1994,5522,14473,0
"04002_1994","04002",1994,45035,48504,1
"04003_1994","04003",1994,23738,5613,1
"04004_1994","04004",1994,9199,12248,0
"04005_1994","04005",1994,3496,0,1
"04006_1994","04006",1994,4484,6865,0
"04007_1994","04007",1994,1014,0,0
"04008_1994","04008",1994,1056,NA,0
"04009_1994","04009",1994,7841,12938,1
"04010_1994","04010",1994,0,0,0
"04011_1994","04011",1994,0,0,0
"05001_1994","05001",1994,185,NA,1
"05002_1994","05002",1994,13495,NA,1
"05003_1994","05003",1994,4279,NA,1
"05004_1994","05004",1994,1752,NA,2
"05005_1994","05005",1994,497,NA,1
"05006_1994","05006",1994,3518,NA,1
"05007_1994","05007",1994,2394,NA,1
"05008_1994","05008",1994,157,NA,1
"05009_1994","05009",1994,12389,NA,1
"05010_1994","05010",1994,14314,NA,1
"05011_1994","05011",1994,949,NA,1
"05012_1994","05012",1994,193,NA,1
"05013_1994","05013",1994,257,NA,1
"05014_1994","05014",1994,265,NA,1
"05015_1994","05015",1994,201,NA,1
"05016_1994","05016",1994,457,NA,1
"05017_1994","05017",1994,10110,NA,2
"05018_1994","05018",1994,45596,NA,1
"05019_1994","05019",1994,1410,NA,1
"05020_1994","05020",1994,15467,NA,4
"05021_1994","05021",1994,1037,NA,1
"05022_1994","05022",1994,2539,NA,1
"05023_1994","05023",1994,666,NA,1
"05024_1994","05024",1994,6690,NA,1
"05025_1994","05025",1994,22974,NA,1
"05026_1994","05026",1994,214,NA,1
"05027_1994","05027",1994,4922,NA,1
"05028_1994","05028",1994,13291,NA,3
"05029_1994","05029",1994,467,NA,1
"05030_1994","05030",1994,96452,NA,1
"05031_1994","05031",1994,4578,NA,1
"05032_1994","05032",1994,10233,NA,2
"05033_1994","05033",1994,17747,NA,1
"05034_1994","05034",1994,283,NA,1
"05035_1994","05035",1994,109702,NA,2
"05036_1994","05036",1994,756,NA,1
"05037_1994","05037",1994,1385,NA,1
"05038_1994","05038",1994,2230,NA,1
"06001_1994","06001",1994,6432,6754,NA
"06002_1994","06002",1994,38402,35882,NA
"06003_1994","06003",1994,3904,3859,NA
"06004_1994","06004",1994,2631,3654,NA
"06005_1994","06005",1994,5857,6214,NA
"06006_1994","06006",1994,NA,1210,NA
"06007_1994","06007",1994,21070,29407,NA
"06008_1994","06008",1994,1107,1841,NA
"06009_1994","06009",1994,19923,22443,NA
"06010_1994","06010",1994,21651,17385,NA
"07001_1994","07001",1994,818,NA,1
"07002_1994","07002",1994,2567,NA,7
"07003_1994","07003",1994,999,NA,4
"07004_1994","07004",1994,728,NA,1
"07005_1994","07005",1994,425,NA,1
"07006_1994","07006",1994,98,NA,1
"07007_1994","07007",1994,400,NA,1
"07008_1994","07008",1994,1185,NA,1
"07009_1994","07009",1994,3936,NA,4
"07010_1994","07010",1994,40,NA,2
"07011_1994","07011",1994,151,NA,2
"07012_1994","07012",1994,1605,NA,1
"07013_1994","07013",1994,1572,NA,1
"07014_1994","07014",1994,825,NA,3
"07015_1994","07015",1994,2188,NA,3
"07016_1994","07016",1994,553,NA,2
"07017_1994","07017",1994,4514,NA,1
"07018_1994","07018",1994,486,NA,5
"07019_1994","07019",1994,11981,NA,5
"07020_1994","07020",1994,1212,NA,6
"07021_1994","07021",1994,978,NA,4
"07022_1994","07022",1994,69,NA,1
"07023_1994","07023",1994,340,NA,1
"07024_1994","07024",1994,582,NA,1
"07025_1994","07025",1994,308,NA,1
"07026_1994","07026",1994,271,NA,1
"07027_1994","07027",1994,4385,NA,2
"07028_1994","07028",1994,633,NA,1
"07029_1994","07029",1994,503,NA,1
"07030_1994","07030",1994,522,NA,1
"07031_1994","07031",1994,639,NA,4
"07032_1994","07032",1994,1474,NA,2
"07033_1994","07033",1994,NA,NA,1
