"INEGI","win","year"
"01","PRI",1973
"02","PRI",1973
"03",NA,1973
"04","PRI",1973
"05","PRI",1973
"06","PRI",1973
"07","PRI",1973
"08","PRI",1973
"09",NA,1973
"10","PRI",1973
"11","PRI",1973
"12","PRI",1973
"13","PRI",1973
"14","PRI",1973
"15","PRI",1973
"16","PRI",1973
"17","PRI",1973
"18","PRI",1973
"19","PRI",1973
"20","PRI",1973
"21","PRI",1973
"22","PRI",1973
"23",NA,1973
"24","PRI",1973
"25","PRI",1973
"26","PRI",1973
"27","PRI",1973
"28","PRI",1973
"29","PRI",1973
"30","PRI",1973
"31","PRI",1973
"32","PRI",1973
"01","PRI",1974
"02","PRI",1974
"03",NA,1974
"04","PRI",1974
"05","PRI",1974
"06","PRI",1974
"07","PRI",1974
"08","PRI",1974
"09",NA,1974
"10","PRI",1974
"11","PRI",1974
"12","PRI",1974
"13","PRI",1974
"14","PRI",1974
"15","PRI",1974
"16","PRI",1974
"17","PRI",1974
"18","PRI",1974
"19","PRI",1974
"20","PRI",1974
"21","PRI",1974
"22","PRI",1974
"23",NA,1974
"24","PRI",1974
"25","PRI",1974
"26","PRI",1974
"27","PRI",1974
"28","PRI",1974
"29","PRI",1974
"30","PRI",1974
"31","PRI",1974
"32","PRI",1974
"01","PRI",1975
"02","PRI",1975
"03","PRI",1975
"04","PRI",1975
"05","PRI",1975
"06","PRI",1975
"07","PRI",1975
"08","PRI",1975
"09",NA,1975
"10","PRI",1975
"11","PRI",1975
"12","PRI",1975
"13","PRI",1975
"14","PRI",1975
"15","PRI",1975
"16","PRI",1975
"17","PRI",1975
"18","PRI",1975
"19","PRI",1975
"20","PRI",1975
"21","PRI",1975
"22","PRI",1975
"23","PRI",1975
"24","PRI",1975
"25","PRI",1975
"26","PRI",1975
"27","PRI",1975
"28","PRI",1975
"29","PRI",1975
"30","PRI",1975
"31","PRI",1975
"32","PRI",1975
"01","PRI",1976
"02","PRI",1976
"03","PRI",1976
"04","PRI",1976
"05","PRI",1976
"06","PRI",1976
"07","PRI",1976
"08","PRI",1976
"09",NA,1976
"10","PRI",1976
"11","PRI",1976
"12","PRI",1976
"13","PRI",1976
"14","PRI",1976
"15","PRI",1976
"16","PRI",1976
"17","PRI",1976
"18","PRI",1976
"19","PRI",1976
"20","PRI",1976
"21","PRI",1976
"22","PRI",1976
"23","PRI",1976
"24","PRI",1976
"25","PRI",1976
"26","PRI",1976
"27","PRI",1976
"28","PRI",1976
"29","PRI",1976
"30","PRI",1976
"31","PRI",1976
"32","PRI",1976
"01","PRI",1977
"02","PRI",1977
"03","PRI",1977
"04","PRI",1977
"05","PRI",1977
"06","PRI",1977
"07","PRI",1977
"08","PRI",1977
"09",NA,1977
"10","PRI",1977
"11","PRI",1977
"12","PRI",1977
"13","PRI",1977
"14","PRI",1977
"15","PRI",1977
"16","PRI",1977
"17","PRI",1977
"18","PRI",1977
"19","PRI",1977
"20","PRI",1977
"21","PRI",1977
"22","PRI",1977
"23","PRI",1977
"24","PRI",1977
"25","PRI",1977
"26","PRI",1977
"27","PRI",1977
"28","PRI",1977
"29","PRI",1977
"30","PRI",1977
"31","PRI",1977
"32","PRI",1977
"01","PRI",1978
"02","PRI",1978
"03","PRI",1978
"04","PRI",1978
"05","PRI",1978
"06","PRI",1978
"07","PRI",1978
"08","PRI",1978
"09",NA,1978
"10","PRI",1978
"11","PRI",1978
"12","PRI",1978
"13","PRI",1978
"14","PRI",1978
"15","PRI",1978
"16","PRI",1978
"17","PRI",1978
"18","PRI",1978
"19","PRI",1978
"20","PRI",1978
"21","PRI",1978
"22","PRI",1978
"23","PRI",1978
"24","PRI",1978
"25","PRI",1978
"26","PRI",1978
"27","PRI",1978
"28","PRI",1978
"29","PRI",1978
"30","PRI",1978
"31","PRI",1978
"32","PRI",1978
"01","PRI",1979
"02","PRI",1979
"03","PRI",1979
"04","PRI",1979
"05","PRI",1979
"06","PRI",1979
"07","PRI",1979
"08","PRI",1979
"09",NA,1979
"10","PRI",1979
"11","PRI",1979
"12","PRI",1979
"13","PRI",1979
"14","PRI",1979
"15","PRI",1979
"16","PRI",1979
"17","PRI",1979
"18","PRI",1979
"19","PRI",1979
"20","PRI",1979
"21","PRI",1979
"22","PRI",1979
"23","PRI",1979
"24","PRI",1979
"25","PRI",1979
"26","PRI",1979
"27","PRI",1979
"28","PRI",1979
"29","PRI",1979
"30","PRI",1979
"31","PRI",1979
"32","PRI",1979
"01","PRI",1980
"02","PRI",1980
"03","PRI",1980
"04","PRI",1980
"05","PRI",1980
"06","PRI",1980
"07","PRI",1980
"08","PRI",1980
"09",NA,1980
"10","PRI",1980
"11","PRI",1980
"12","PRI",1980
"13","PRI",1980
"14","PRI",1980
"15","PRI",1980
"16","PRI",1980
"17","PRI",1980
"18","PRI",1980
"19","PRI",1980
"20","PRI",1980
"21","PRI",1980
"22","PRI",1980
"23","PRI",1980
"24","PRI",1980
"25","PRI",1980
"26","PRI",1980
"27","PRI",1980
"28","PRI",1980
"29","PRI",1980
"30","PRI",1980
"31","PRI",1980
"32","PRI",1980
"01","PRI",1981
"02","PRI",1981
"03","PRI",1981
"04","PRI",1981
"05","PRI",1981
"06","PRI",1981
"07","PRI",1981
"08","PRI",1981
"09",NA,1981
"10","PRI",1981
"11","PRI",1981
"12","PRI",1981
"13","PRI",1981
"14","PRI",1981
"15","PRI",1981
"16","PRI",1981
"17","PRI",1981
"18","PRI",1981
"19","PRI",1981
"20","PRI",1981
"21","PRI",1981
"22","PRI",1981
"23","PRI",1981
"24","PRI",1981
"25","PRI",1981
"26","PRI",1981
"27","PRI",1981
"28","PRI",1981
"29","PRI",1981
"30","PRI",1981
"31","PRI",1981
"32","PRI",1981
"01","PRI",1982
"02","PRI",1982
"03","PRI",1982
"04","PRI",1982
"05","PRI",1982
"06","PRI",1982
"07","PRI",1982
"08","PRI",1982
"09",NA,1982
"10","PRI",1982
"11","PRI",1982
"12","PRI",1982
"13","PRI",1982
"14","PRI",1982
"15","PRI",1982
"16","PRI",1982
"17","PRI",1982
"18","PRI",1982
"19","PRI",1982
"20","PRI",1982
"21","PRI",1982
"22","PRI",1982
"23","PRI",1982
"24","PRI",1982
"25","PRI",1982
"26","PRI",1982
"27","PRI",1982
"28","PRI",1982
"29","PRI",1982
"30","PRI",1982
"31","PRI",1982
"32","PRI",1982
"01","PRI",1983
"02","PRI",1983
"03","PRI",1983
"04","PRI",1983
"05","PRI",1983
"06","PRI",1983
"07","PRI",1983
"08","PRI",1983
"09",NA,1983
"10","PRI",1983
"11","PRI",1983
"12","PRI",1983
"13","PRI",1983
"14","PRI",1983
"15","PRI",1983
"16","PRI",1983
"17","PRI",1983
"18","PRI",1983
"19","PRI",1983
"20","PRI",1983
"21","PRI",1983
"22","PRI",1983
"23","PRI",1983
"24","PRI",1983
"25","PRI",1983
"26","PRI",1983
"27","PRI",1983
"28","PRI",1983
"29","PRI",1983
"30","PRI",1983
"31","PRI",1983
"32","PRI",1983
"01","PRI",1984
"02","PRI",1984
"03","PRI",1984
"04","PRI",1984
"05","PRI",1984
"06","PRI",1984
"07","PRI",1984
"08","PRI",1984
"09",NA,1984
"10","PRI",1984
"11","PRI",1984
"12","PRI",1984
"13","PRI",1984
"14","PRI",1984
"15","PRI",1984
"16","PRI",1984
"17","PRI",1984
"18","PRI",1984
"19","PRI",1984
"20","PRI",1984
"21","PRI",1984
"22","PRI",1984
"23","PRI",1984
"24","PRI",1984
"25","PRI",1984
"26","PRI",1984
"27","PRI",1984
"28","PRI",1984
"29","PRI",1984
"30","PRI",1984
"31","PRI",1984
"32","PRI",1984
"01","PRI",1985
"02","PRI",1985
"03","PRI",1985
"04","PRI",1985
"05","PRI",1985
"06","PRI",1985
"07","PRI",1985
"08","PRI",1985
"09",NA,1985
"10","PRI",1985
"11","PRI",1985
"12","PRI",1985
"13","PRI",1985
"14","PRI",1985
"15","PRI",1985
"16","PRI",1985
"17","PRI",1985
"18","PRI",1985
"19","PRI",1985
"20","PRI",1985
"21","PRI",1985
"22","PRI",1985
"23","PRI",1985
"24","PRI",1985
"25","PRI",1985
"26","PRI",1985
"27","PRI",1985
"28","PRI",1985
"29","PRI",1985
"30","PRI",1985
"31","PRI",1985
"32","PRI",1985
"01","PRI",1986
"02","PRI",1986
"03","PRI",1986
"04","PRI",1986
"05","PRI",1986
"06","PRI",1986
"07","PRI",1986
"08","PRI",1986
"09",NA,1986
"10","PRI",1986
"11","PRI",1986
"12","PRI",1986
"13","PRI",1986
"14","PRI",1986
"15","PRI",1986
"16","PRI",1986
"17","PRI",1986
"18","PRI",1986
"19","PRI",1986
"20","PRI",1986
"21","PRI",1986
"22","PRI",1986
"23","PRI",1986
"24","PRI",1986
"25","PRI",1986
"26","PRI",1986
"27","PRI",1986
"28","PRI",1986
"29","PRI",1986
"30","PRI",1986
"31","PRI",1986
"32","PRI",1986
"01","PRI",1987
"02","PRI",1987
"03","PRI",1987
"04","PRI",1987
"05","PRI",1987
"06","PRI",1987
"07","PRI",1987
"08","PRI",1987
"09",NA,1987
"10","PRI",1987
"11","PRI",1987
"12","PRI",1987
"13","PRI",1987
"14","PRI",1987
"15","PRI",1987
"16","PRI",1987
"17","PRI",1987
"18","PRI",1987
"19","PRI",1987
"20","PRI",1987
"21","PRI",1987
"22","PRI",1987
"23","PRI",1987
"24","PRI",1987
"25","PRI",1987
"26","PRI",1987
"27","PRI",1987
"28","PRI",1987
"29","PRI",1987
"30","PRI",1987
"31","PRI",1987
"32","PRI",1987
"01","PRI",1988
"02","PRI",1988
"03","PRI",1988
"04","PRI",1988
"05","PRI",1988
"06","PRI",1988
"07","PRI",1988
"08","PRI",1988
"09",NA,1988
"10","PRI",1988
"11","PRI",1988
"12","PRI",1988
"13","PRI",1988
"14","PRI",1988
"15","PRI",1988
"16","PRI",1988
"17","PRI",1988
"18","PRI",1988
"19","PRI",1988
"20","PRI",1988
"21","PRI",1988
"22","PRI",1988
"23","PRI",1988
"24","PRI",1988
"25","PRI",1988
"26","PRI",1988
"27","PRI",1988
"28","PRI",1988
"29","PRI",1988
"30","PRI",1988
"31","PRI",1988
"32","PRI",1988
"01","PRI",1989
"02","PRI",1989
"03","PRI",1989
"04","PRI",1989
"05","PRI",1989
"06","PRI",1989
"07","PRI",1989
"08","PRI",1989
"09",NA,1989
"10","PRI",1989
"11","PRI",1989
"12","PRI",1989
"13","PRI",1989
"14","PRI",1989
"15","PRI",1989
"16","PRI",1989
"17","PRI",1989
"18","PRI",1989
"19","PRI",1989
"20","PRI",1989
"21","PRI",1989
"22","PRI",1989
"23","PRI",1989
"24","PRI",1989
"25","PRI",1989
"26","PRI",1989
"27","PRI",1989
"28","PRI",1989
"29","PRI",1989
"30","PRI",1989
"31","PRI",1989
"32","PRI",1989
"01","PRI",1990
"02","PAN",1990
"03","PRI",1990
"04","PRI",1990
"05","PRI",1990
"06","PRI",1990
"07","PRI",1990
"08","PRI",1990
"09",NA,1990
"10","PRI",1990
"11","PRI",1990
"12","PRI",1990
"13","PRI",1990
"14","PRI",1990
"15","PRI",1990
"16","PRI",1990
"17","PRI",1990
"18","PRI",1990
"19","PRI",1990
"20","PRI",1990
"21","PRI",1990
"22","PRI",1990
"23","PRI",1990
"24","PRI",1990
"25","PRI",1990
"26","PRI",1990
"27","PRI",1990
"28","PRI",1990
"29","PRI",1990
"30","PRI",1990
"31","PRI",1990
"32","PRI",1990
"01","PRI",1991
"02","PAN",1991
"03","PRI",1991
"04","PRI",1991
"05","PRI",1991
"06","PRI",1991
"07","PRI",1991
"08","PRI",1991
"09",NA,1991
"10","PRI",1991
"11","PRI",1991
"12","PRI",1991
"13","PRI",1991
"14","PRI",1991
"15","PRI",1991
"16","PRI",1991
"17","PRI",1991
"18","PRI",1991
"19","PRI",1991
"20","PRI",1991
"21","PRI",1991
"22","PRI",1991
"23","PRI",1991
"24","PRI",1991
"25","PRI",1991
"26","PRI",1991
"27","PRI",1991
"28","PRI",1991
"29","PRI",1991
"30","PRI",1991
"31","PRI",1991
"32","PRI",1991
"01","PRI",1992
"02","PAN",1992
"03","PRI",1992
"04","PRI",1992
"05","PRI",1992
"06","PRI",1992
"07","PRI",1992
"08","PRI",1992
"09",NA,1992
"10","PRI",1992
"11","PRI",1992
"12","PRI",1992
"13","PRI",1992
"14","PRI",1992
"15","PRI",1992
"16","PRI",1992
"17","PRI",1992
"18","PRI",1992
"19","PRI",1992
"20","PRI",1992
"21","PRI",1992
"22","PRI",1992
"23","PRI",1992
"24","PRI",1992
"25","PRI",1992
"26","PRI",1992
"27","PRI",1992
"28","PRI",1992
"29","PRI",1992
"30","PRI",1992
"31","PRI",1992
"32","PRI",1992
"01","PRI",1993
"02","PAN",1993
"03","PRI",1993
"04","PRI",1993
"05","PRI",1993
"06","PRI",1993
"07","PRI",1993
"08","PAN",1993
"09",NA,1993
"10","PRI",1993
"11","PRI",1993
"12","PRI",1993
"13","PRI",1993
"14","PRI",1993
"15","PRI",1993
"16","PRI",1993
"17","PRI",1993
"18","PRI",1993
"19","PRI",1993
"20","PRI",1993
"21","PRI",1993
"22","PRI",1993
"23","PRI",1993
"24","PRI",1993
"25","PRI",1993
"26","PRI",1993
"27","PRI",1993
"28","PRI",1993
"29","PRI",1993
"30","PRI",1993
"31","PRI",1993
"32","PRI",1993
"01","PRI",1994
"02","PAN",1994
"03","PRI",1994
"04","PRI",1994
"05","PRI",1994
"06","PRI",1994
"07","PRI",1994
"08","PAN",1994
"09",NA,1994
"10","PRI",1994
"11","PRI",1994
"12","PRI",1994
"13","PRI",1994
"14","PRI",1994
"15","PRI",1994
"16","PRI",1994
"17","PRI",1994
"18","PRI",1994
"19","PRI",1994
"20","PRI",1994
"21","PRI",1994
"22","PRI",1994
"23","PRI",1994
"24","PRI",1994
"25","PRI",1994
"26","PRI",1994
"27","PRI",1994
"28","PRI",1994
"29","PRI",1994
"30","PRI",1994
"31","PRI",1994
"32","PRI",1994
"01","PRI",1995
"02","PAN",1995
"03","PRI",1995
"04","PRI",1995
"05","PRI",1995
"06","PRI",1995
"07","PRI",1995
"08","PAN",1995
"09",NA,1995
"10","PRI",1995
"11","PAN",1995
"12","PRI",1995
"13","PRI",1995
"14","PAN",1995
"15","PRI",1995
"16","PRI",1995
"17","PRI",1995
"18","PRI",1995
"19","PRI",1995
"20","PRI",1995
"21","PRI",1995
"22","PRI",1995
"23","PRI",1995
"24","PRI",1995
"25","PRI",1995
"26","PRI",1995
"27","PRI",1995
"28","PRI",1995
"29","PRI",1995
"30","PRI",1995
"31","PRI",1995
"32","PRI",1995
"01","PRI",1996
"02","PAN",1996
"03","PRI",1996
"04","PRI",1996
"05","PRI",1996
"06","PRI",1996
"07","PRI",1996
"08","PAN",1996
"09",NA,1996
"10","PRI",1996
"11","PAN",1996
"12","PRI",1996
"13","PRI",1996
"14","PAN",1996
"15","PRI",1996
"16","PRI",1996
"17","PRI",1996
"18","PRI",1996
"19","PRI",1996
"20","PRI",1996
"21","PRI",1996
"22","PRI",1996
"23","PRI",1996
"24","PRI",1996
"25","PRI",1996
"26","PRI",1996
"27","PRI",1996
"28","PRI",1996
"29","PRI",1996
"30","PRI",1996
"31","PRI",1996
"32","PRI",1996
"01","PRI",1997
"02","PAN",1997
"03","PRI",1997
"04","PRI",1997
"05","PRI",1997
"06","PRI",1997
"07","PRI",1997
"08","PAN",1997
"09",NA,1997
"10","PRI",1997
"11","PAN",1997
"12","PRI",1997
"13","PRI",1997
"14","PAN",1997
"15","PRI",1997
"16","PRI",1997
"17","PRI",1997
"18","PRI",1997
"19","PRI",1997
"20","PRI",1997
"21","PRI",1997
"22","PRI",1997
"23","PRI",1997
"24","PRI",1997
"25","PRI",1997
"26","PRI",1997
"27","PRI",1997
"28","PRI",1997
"29","PRI",1997
"30","PRI",1997
"31","PRI",1997
"32","PRI",1997
"01","PRI",1998
"02","PAN",1998
"03","PRI",1998
"04","PRI",1998
"05","PRI",1998
"06","PRI",1998
"07","PRI",1998
"08","PAN",1998
"09","PRD",1998
"10","PRI",1998
"11","PAN",1998
"12","PRI",1998
"13","PRI",1998
"14","PAN",1998
"15","PRI",1998
"16","PRI",1998
"17","PRI",1998
"18","PRI",1998
"19","PAN",1998
"20","PRI",1998
"21","PRI",1998
"22","PAN",1998
"23","PRI",1998
"24","PRI",1998
"25","PRI",1998
"26","PRI",1998
"27","PRI",1998
"28","PRI",1998
"29","PRI",1998
"30","PRI",1998
"31","PRI",1998
"32","PRD",1998
"01","PAN",1999
"02","PAN",1999
"03","PRD",1999
"04","PRI",1999
"05","PRI",1999
"06","PRI",1999
"07","PRI",1999
"08","PRI",1999
"09","PRD",1999
"10","PRI",1999
"11","PAN",1999
"12","PRI",1999
"13","PRI",1999
"14","PAN",1999
"15","PRI",1999
"16","PRI",1999
"17","PRI",1999
"18","PAN",1999
"19","PAN",1999
"20","PRI",1999
"21","PRI",1999
"22","PAN",1999
"23","PRI",1999
"24","PRI",1999
"25","PRI",1999
"26","PRI",1999
"27","PRI",1999
"28","PRI",1999
"29","PRD",1999
"30","PRI",1999
"31","PRI",1999
"32","PRD",1999
"01","PAN",2000
"02","PAN",2000
"03","PRD",2000
"04","PRI",2000
"05","PRI",2000
"06","PRI",2000
"07","PRI",2000
"08","PRI",2000
"09","PRD",2000
"10","PRI",2000
"11","PAN",2000
"12","PRI",2000
"13","PRI",2000
"14","PAN",2000
"15","PRI",2000
"16","PRI",2000
"17","PRI",2000
"18","PAN",2000
"19","PAN",2000
"20","PRI",2000
"21","PRI",2000
"22","PAN",2000
"23","PRI",2000
"24","PRI",2000
"25","PRI",2000
"26","PRI",2000
"27","PRI",2000
"28","PRI",2000
"29","PRD",2000
"30","PRI",2000
"31","PRI",2000
"32","PRD",2000
"01","PAN",2001
"02","PAN",2001
"03","PRD",2001
"04","PRI",2001
"05","PRI",2001
"06","PRI",2001
"07","PAN",2001
"08","PRI",2001
"09","PRD",2001
"10","PRI",2001
"11","PAN",2001
"12","PRI",2001
"13","PRI",2001
"14","PAN",2001
"15","PRI",2001
"16","PRI",2001
"17","PAN",2001
"18","PAN",2001
"19","PAN",2001
"20","PRI",2001
"21","PRI",2001
"22","PAN",2001
"23","PRI",2001
"24","PRI",2001
"25","PRI",2001
"26","PRI",2001
"27","PRI",2001
"28","PRI",2001
"29","PRD",2001
"30","PRI",2001
"31","PAN",2001
"32","PRD",2001
"01","PAN",2002
"02","PAN",2002
"03","PRD",2002
"04","PRI",2002
"05","PRI",2002
"06","PRI",2002
"07","PAN",2002
"08","PRI",2002
"09","PRD",2002
"10","PRI",2002
"11","PAN",2002
"12","PRI",2002
"13","PRI",2002
"14","PAN",2002
"15","PRI",2002
"16","PRD",2002
"17","PAN",2002
"18","PAN",2002
"19","PAN",2002
"20","PRI",2002
"21","PRI",2002
"22","PAN",2002
"23","PRI",2002
"24","PRI",2002
"25","PRI",2002
"26","PRI",2002
"27","PRI",2002
"28","PRI",2002
"29","PRD",2002
"30","PRI",2002
"31","PAN",2002
"32","PRD",2002
"01","PAN",2003
"02","PAN",2003
"03","PRD",2003
"04","PRI",2003
"05","PRI",2003
"06","PRI",2003
"07","PAN",2003
"08","PRI",2003
"09","PRD",2003
"10","PRI",2003
"11","PAN",2003
"12","PRI",2003
"13","PRI",2003
"14","PAN",2003
"15","PRI",2003
"16","PRD",2003
"17","PAN",2003
"18","PAN",2003
"19","PAN",2003
"20","PRI",2003
"21","PRI",2003
"22","PAN",2003
"23","PRI",2003
"24","PAN",2003
"25","PRI",2003
"26","PRI",2003
"27","PRI",2003
"28","PRI",2003
"29","PRD",2003
"30","PRI",2003
"31","PAN",2003
"32","PRD",2003
"01","PAN",2004
"02","PAN",2004
"03","PRD",2004
"04","PRI",2004
"05","PRI",2004
"06","PRI",2004
"07","PAN",2004
"08","PRI",2004
"09","PRD",2004
"10","PRI",2004
"11","PAN",2004
"12","PRI",2004
"13","PRI",2004
"14","PAN",2004
"15","PRI",2004
"16","PRD",2004
"17","PAN",2004
"18","PAN",2004
"19","PRI",2004
"20","PRI",2004
"21","PRI",2004
"22","PAN",2004
"23","PRI",2004
"24","PAN",2004
"25","PRI",2004
"26","PRI",2004
"27","PRI",2004
"28","PRI",2004
"29","PRD",2004
"30","PRI",2004
"31","PAN",2004
"32","PRD",2004
"01","PAN",2005
"02","PAN",2005
"03","PRD",2005
"04","PRI",2005
"05","PRI",2005
"06","PRI",2005
"07","PAN",2005
"08","PRI",2005
"09","PRD",2005
"10","PRI",2005
"11","PAN",2005
"12","PRD",2005
"13","PRI",2005
"14","PAN",2005
"15","PRI",2005
"16","PRD",2005
"17","PAN",2005
"18","PRD",2005
"19","PRI",2005
"20","PRI",2005
"21","PRI",2005
"22","PAN",2005
"23","PRI",2005
"24","PAN",2005
"25","PRI",2005
"26","PRI",2005
"27","PRI",2005
"28","PRI",2005
"29","PAN",2005
"30","PRI",2005
"31","PAN",2005
"32","PRD",2005
"01","PAN",2006
"02","PAN",2006
"03","PRD",2006
"04","PRI",2006
"05","PRI",2006
"06","PRI",2006
"07","PAN",2006
"08","PRI",2006
"09","PRD",2006
"10","PRI",2006
"11","PAN",2006
"12","PRD",2006
"13","PRI",2006
"14","PAN",2006
"15","PRI",2006
"16","PRD",2006
"17","PAN",2006
"18","PRD",2006
"19","PRI",2006
"20","PRI",2006
"21","PRI",2006
"22","PAN",2006
"23","PRI",2006
"24","PAN",2006
"25","PRI",2006
"26","PRI",2006
"27","PRI",2006
"28","PRI",2006
"29","PAN",2006
"30","PRI",2006
"31","PAN",2006
"32","PRD",2006
"01","PAN",2007
"02","PAN",2007
"03","PRD",2007
"04","PRI",2007
"05","PRI",2007
"06","PRI",2007
"07","PRD",2007
"08","PRI",2007
"09","PRD",2007
"10","PRI",2007
"11","PAN",2007
"12","PRD",2007
"13","PRI",2007
"14","PAN",2007
"15","PRI",2007
"16","PRD",2007
"17","PAN",2007
"18","PRD",2007
"19","PRI",2007
"20","PRI",2007
"21","PRI",2007
"22","PAN",2007
"23","PRI",2007
"24","PAN",2007
"25","PRI",2007
"26","PRI",2007
"27","PRI",2007
"28","PRI",2007
"29","PAN",2007
"30","PRI",2007
"31","PRI",2007
"32","PRD",2007
"01","PAN",2008
"02","PAN",2008
"03","PRD",2008
"04","PRI",2008
"05","PRI",2008
"06","PRI",2008
"07","PRD",2008
"08","PRI",2008
"09","PRD",2008
"10","PRI",2008
"11","PAN",2008
"12","PRD",2008
"13","PRI",2008
"14","PAN",2008
"15","PRI",2008
"16","PRD",2008
"17","PAN",2008
"18","PRD",2008
"19","PRI",2008
"20","PRI",2008
"21","PRI",2008
"22","PAN",2008
"23","PRI",2008
"24","PAN",2008
"25","PRI",2008
"26","PRI",2008
"27","PRI",2008
"28","PRI",2008
"29","PAN",2008
"30","PRI",2008
"31","PRI",2008
"32","PRD",2008
"01","PAN",2009
"02","PAN",2009
"03","PRD",2009
"04","PRI",2009
"05","PRI",2009
"06","PRI",2009
"07","PRD",2009
"08","PRI",2009
"09","PRD",2009
"10","PRI",2009
"11","PAN",2009
"12","PRD",2009
"13","PRI",2009
"14","PAN",2009
"15","PRI",2009
"16","PRD",2009
"17","PAN",2009
"18","PRD",2009
"19","PRI",2009
"20","PRI",2009
"21","PRI",2009
"22","PAN",2009
"23","PRI",2009
"24","PRI",2009
"25","PRI",2009
"26","PAN",2009
"27","PRI",2009
"28","PRI",2009
"29","PAN",2009
"30","PRI",2009
"31","PRI",2009
"32","PRD",2009
"01","PAN",2010
"02","PAN",2010
"03","PRD",2010
"04","PRI",2010
"05","PRI",2010
"06","PRI",2010
"07","PRD",2010
"08","PRI",2010
"09","PRD",2010
"10","PRI",2010
"11","PAN",2010
"12","PRD",2010
"13","PRI",2010
"14","PAN",2010
"15","PRI",2010
"16","PRD",2010
"17","PAN",2010
"18","PRD",2010
"19","PRI",2010
"20","PRI",2010
"21","PAN",2010
"22","PRI",2010
"23","PRI",2010
"24","PRI",2010
"25","PRI",2010
"26","PAN",2010
"27","PRI",2010
"28","PRI",2010
"29","PAN",2010
"30","PRI",2010
"31","PRI",2010
"32","PRI",2010
"01","PRI",2011
"02","PAN",2011
"03","PAN",2011
"04","PRI",2011
"05","PRI",2011
"06","PRI",2011
"07","PRD",2011
"08","PRI",2011
"09","PRD",2011
"10","PRI",2011
"11","PAN",2011
"12","PRD",2011
"13","PRI",2011
"14","PAN",2011
"15","PRI",2011
"16","PRD",2011
"17","PAN",2011
"18","PRI",2011
"19","PRI",2011
"20","PAN",2011
"21","PAN",2011
"22","PRI",2011
"23","PRI",2011
"24","PRI",2011
"25","PAN",2011
"26","PAN",2011
"27","PRI",2011
"28","PRI",2011
"29","PRI",2011
