"estado","municipio","Total_15"
"Aguascalientes","Aguascalientes",877190
"Aguascalientes","Asientos",46464
"Aguascalientes","Calvillo",56048
"Aguascalientes","Cosío",15577
"Aguascalientes","El Llano",20245
"Aguascalientes","Jesús María",120405
"Aguascalientes","Pabellón de Arteaga",46473
"Aguascalientes","Rincón de Romos",53866
"Aguascalientes","San Francisco de los Romo",46454
"Aguascalientes","San José de Gracia",8896
"Aguascalientes","Tepezalá",20926
"Baja California","Ensenada",486639
"Baja California","Mexicali",988417
"Baja California","Playas de Rosarito",96734
"Baja California","Tecate",102406
"Baja California","Tijuana",1641570
"Baja California Sur","Comondú",72564
"Baja California Sur","La Paz",272711
"Baja California Sur","Loreto",18912
"Baja California Sur","Los Cabos",287671
"Baja California Sur","Mulegé",60171
"Campeche","Calakmul",28424
"Campeche","Calkiní",56537
"Campeche","Campeche",283025
"Campeche","Candelaria",43879
"Campeche","Carmen",248303
"Campeche","Champotón",90244
"Campeche","Escárcega",58553
"Campeche","Hecelchakán",31230
"Campeche","Hopelchén",40100
"Campeche","Palizada",8971
"Campeche","Tenabo",10665
"Ciudad de México","Álvaro Obregón",749982
"Ciudad de México","Azcapotzalco",400161
"Ciudad de México","Benito Juárez",417416
"Ciudad de México","Coyoacán",608479
"Ciudad de México","Cuajimalpa de Morelos",199224
"Ciudad de México","Cuauhtémoc",532553
"Ciudad de México","Gustavo A. Madero",1164477
"Ciudad de México","Iztacalco",390348
"Ciudad de México","Iztapalapa",1827868
"Ciudad de México","La Magdalena Contreras",243886
"Ciudad de México","Miguel Hidalgo",364439
"Ciudad de México","Milpa Alta",137927
"Ciudad de México","Tláhuac",361593
"Ciudad de México","Tlalpan",677104
"Ciudad de México","Venustiano Carranza",427263
"Ciudad de México","Xochimilco",415933
"Chihuahua","Ahumada",12568
"Chihuahua","Aldama",24761
"Chihuahua","Allende",8751
"Chihuahua","Aquiles Serdán",15516
"Chihuahua","Ascensión",24966
"Chihuahua","Bachíniva",6156
"Chihuahua","Balleza *",16824
"Chihuahua","Batopilas *",11289
"Chihuahua","Bocoyna",27909
"Chihuahua","Buenaventura **",23438
"Chihuahua","Camargo",51572
"Chihuahua","Carichí **",9211
"Chihuahua","Casas Grandes",11432
"Chihuahua","Chihuahua",878062
"Chihuahua","Chínipas *",7501
"Chihuahua","Coronado *",2096
"Chihuahua","Coyame del Sotol *",1684
"Chihuahua","Cuauhtémoc",168482
"Chihuahua","Cusihuiriachi",4594
"Chihuahua","Delicias",148045
"Chihuahua","Dr. Belisario Domínguez *",2491
"Chihuahua","El Tule *",1697
"Chihuahua","Galeana",6021
"Chihuahua","Gómez Farías",8905
"Chihuahua","Gran Morelos *",2466
"Chihuahua","Guachochi *",45544
"Chihuahua","Guadalupe",5272
"Chihuahua","Guadalupe y Calvo *",56130
"Chihuahua","Guazapares *",7429
"Chihuahua","Guerrero",39064
"Chihuahua","Hidalgo del Parral",109510
"Chihuahua","Huejotitán *",952
"Chihuahua","Ignacio Zaragoza",6903
"Chihuahua","Janos",10974
