INEGI,Municipio
5001,Abasolo
5002,Acuña
5003,Allende
5004,Arteaga
5005,Candela
5006,Castaños
5007,Cuatro Ciénegas
5008,Escobedo
5009,Francisco I. Madero
5010,Frontera
5011,General Cepeda
5012,Guerrero
5013,Hidalgo
5014,Jiménez
5015,Juárez
5016,Lamadrid
5017,Matamoros
5018,Monclova
5019,Morelos
5020,Múzquiz
5021,Nadadores
5022,Nava
5023,Ocampo
5024,Parras
5025,Piedras Negras
5026,Progreso
5027,Ramos Arizpe
5028,Sabinas
5029,Sacramento
5030,Saltillo
5031,San Buenaventura
5032,San Juan de Sabinas
5033,San Pedro
5034,Sierra Mojada
5035,Torreón
5036,Viesca
5037,Villa Unión
5038,Zaragoza
