Acaponeta,0,"8,621","7,916",306,239,225,0,2,383
Ahuacatlán,"3,105","3,059",0,809,"1,167",0,0,1,159
Amatlán de Cañas,"2,371","3,997",0,151,0,0,0,15,169
Bahía de Banderas,0,"16,676","15,325",702,251,"9,832",0,41,"1,092"
Compostela,"12,641","12,872",0,"1,438",732,622,0,31,"1,055"
Huajicori,0,"3,007","2,766",99,13,0,0,0,117
Ixtlán del Río,"1,587","6,313",0,"4,727",110,0,183,23,345
Jala,"3,924","5,640",0,57,0,0,0,8,134
Del Nayar,"5,337","7,497",0,"1,059",0,609,0,6,477
Rosamorada,"4,782","8,437",0,"2,445",68,450,"1,096",5,598
Ruiz,"5,585","5,655",0,272,38,43,0,5,228
San Blas,"3,265","6,699",0,324,169,167,"7,808",20,867
San Pedro Lagunillas,"1,502","1,860",0,53,0,"1,070",0,4,120
Santa María del Oro,0,"4,432","2,967","2,809",140,0,0,9,399
Santiago Ixcuintla,0,"21,603","20,350","1,022",193,597,0,21,957
Tecuala,0,"10,262","8,909",370,99,67,0,2,309
Tepic,"81,765","57,185",0,"4,429","1,097","2,098",0,169,"3,767"
Tuxpan,"5,747","6,496",0,469,0,"1,970",0,2,370
Xalisco,"11,464","8,583",0,509,77,374,0,17,376
La Yesca,"1,592","3,541",0,175,0,0,0,4,123
