"1,789","1,212",57,-,"1,213",-,36,"1,075",419,-,11,"1,967",-,4,196
"-",88,38,29,"2,502",605,340,"2,892",66,22,-,"3,435",-,0,204
972,805,48,439,"4,472",-,246,"5,962",144,-,6,161,-,0,323
93,"6,156",259,86,"6,345",-,52,823,27,-,8,698,-,0,413
512,"3,536",296,170,"4,389",-,44,"1,223",61,-,-,178,-,0,281
"-","5,249",860,213,"4,975",-,176,"2,321",49,-,9,33,-,0,452
5,"1,552",232,-,"1,559",-,18,"1,582",8,-,-,-,-,0,95
974,478,592,414,"4,995",-,66,"1,555",123,46,836,"1,599",379,1,444
827,"3,011",373,862,"3,405",136,"2,827","3,604",752,114,174,"2,434",-,0,737
10,823,443,-,746,-,12,716,5,-,1,7,-,0,58
9,"1,534","2,912",20,"3,669",-,30,"1,356",13,-,-,-,-,7,168
296,"3,959",619,-,"4,656",128,231,"2,025",336,121,568,"4,786",-,60,631
149,"6,544","3,113",387,"2,777",112,104,"1,037",845,-,34,-,-,2,597
183,"3,371",-,133,"2,166",21,82,"1,123",-,-,-,"3,450",-,87,407
141,"5,970",338,262,"6,851",163,111,165,"1,189",260,-,"4,928",-,2,735
"2,138","1,395",47,-,"4,864",-,48,44,77,-,-,"1,068",-,36,169
255,"12,256",482,804,"10,233",220,484,"4,523","1,712",197,164,"1,640",-,0,0
4,"1,017","1,885",-,"1,356",7,16,23,43,-,-,-,-,0,75
477,"29,858",442,616,"18,573",343,277,261,"2,918",-,218,711,-,14,"2,471"
"-","1,614",-,-,"8,353",87,120,"8,651",377,91,-,"1,662",-,236,722
166,"3,594",-,-,"4,168",-,135,"2,680",587,-,-,-,-,2,168
44,"2,440","1,848","1,631","1,032",21,36,668,4,-,-,-,-,3,338
123,"10,043",118,249,"20,012",-,444,"4,631",171,-,45,"2,639",-,5,"2,149"
7,"1,867","1,353",-,"1,732",-,15,128,15,5,-,67,-,0,155
288,131,422,"1,085",765,-,77,192,19,-,-,521,-,0,110
"-","6,159",478,-,"6,959",-,115,"1,237",320,-,10,76,-,0,464
421,"15,196",222,483,"11,337",369,306,933,"2,893",185,153,"2,404",-,5,"1,499"
3,"1,140",7,-,"1,074",-,9,"1,267",12,-,-,-,-,0,48
262,39,-,-,571,-,12,333,"1,242",-,-,543,-,1,82
31,"1,993",128,"1,945","6,283",-,97,"4,380",65,-,18,881,-,0,561
89,"15,804",183,378,"19,238",-,295,"3,749","3,013",178,91,"4,445",-,3,"2,546"
59,"4,584","1,049","1,573","2,983",-,59,"1,862",452,74,-,284,-,0,463
"1,055",12,-,-,"1,373",-,20,288,11,-,-,20,871,0,57
68,"14,617",318,723,"11,011",-,203,49,381,-,39,"1,599",-,2,"1,123"
511,"2,544",72,198,"2,319",243,29,31,443,25,-,146,-,95,272
1,"1,512",-,-,"1,702",-,2,7,11,-,-,6,-,27,37
238,"1,613","2,235",563,"4,970",-,201,"1,477","2,379",-,174,"2,793",-,5,482
"-","5,620",49,-,"5,574",-,69,46,928,-,-,-,-,5,454
28,"2,149","3,432",-,"1,792",-,485,"1,514",21,-,43,327,-,2,473
701,"2,378",132,266,"5,353",130,187,"8,067","1,987",202,86,546,-,4,680
11,108,-,39,"13,244",23,95,"7,587",21,-,-,37,-,13,648
"-",261,"2,270",-,"1,727",557,28,207,3,-,-,23,-,1,119
179,"2,692",-,72,"1,626",-,18,10,18,-,-,645,-,0,99
15,63,21,39,"4,115",54,38,"3,607","3,787",-,-,"1,434",-,63,187
6,"1,529",1,-,"1,888",-,6,22,3,-,-,12,-,0,51
437,623,383,-,"9,610",-,297,"7,336",458,107,-,"1,454",-,456,638
18,"4,770","1,920",64,"2,183",-,69,25,593,-,5,-,-,0,309
93,"2,095",61,-,"3,777",-,118,166,124,-,14,"3,198",-,31,314
"-","5,844",-,-,"4,398",-,40,-,-,-,-,-,-,0,290
"1,157",871,12,-,37,-,9,"1,540",9,-,-,65,-,0,63
"2,636","2,173",600,295,"3,551",-,85,"1,793",888,571,-,"4,776",-,25,549
196,"3,891","10,054",-,"20,444",919,458,"7,790",543,314,-,"1,896",-,59,"2,904"
"-","1,467",503,37,"1,482",-,12,513,8,-,-,-,-,6,83
189,"2,077","2,364",219,"3,872",228,88,"2,931",118,-,259,-,-,59,190
28,433,113,-,"1,527",-,24,950,74,-,-,116,-,0,61
"-","1,544",-,-,"1,168",-,41,"1,144",11,-,-,38,-,5,309
67,"3,613",352,"2,510","8,258",695,114,"9,643","1,266",272,93,128,-,2,"1,154"
"-",-,-,-,-,-,-,-,-,-,-,-,-,0,0
"5,466","10,061",725,519,"24,047","10,785","1,340",288,"3,686",550,-,"3,340",-,198,"3,679"
4,"3,072",8,-,"2,312",-,8,4,6,-,-,534,-,1,36
